title,price,offer,category,site
"ASUS Zenbook Duo Laptop With 14-Inch Display, Core U7-155H Processor/16GB RAM/1TB SSD/Windows 11 English/Arabic Inkwell Gray","93,999",N/A,laptops,noon
"Apple 2023 Newest MacBook Pro MTL73 Laptop M3 chip with 8‑core CPU, 10‑core GPU: 14.2-inch Liquid Retina XDR Display, 8GB Unified Memory, 512GB SSD Storage And Works with iPhone/iPad(International version) English Space Grey","79,438",36%,laptops,noon
Apple MacBook Pro MPHF3 14-Inch Liquid Retina XDR Display Apple M2 Pro Chip With 12-Core CPU And 19-Core GPU/16GB RAM/1TB SSD/English Keyboard Space Grey,"109,999",32%,laptops,noon
Apple MacBook Pro MPHK3 14-Inch Liquid Retina XDR Display Apple M2 Max Chip With 12-Core CPU And 30-Core GPU/32GB RAM/1TB SSD/English Keyboard Silver,"142,222",29%,laptops,noon
"Lenovo Lenovo ThinkPad E14 I5-1335U - 8GB Ram - 512GB SSD - Nvidia MX550-2GB/14""WUXGA - Dos - Black W Bag-21JK000NGR English black English/Arabic black","35,743",N/A,laptops,noon
"DELL Latitude 3440 Laptop, Intel Core i7-1355U, 512GB SSD, 8GB RAM, 14 Inch, FHD IPS 60Hz Display, Touch Screen, Intel HD, Dos - English black","37,899",N/A,laptops,noon
"HP Envy 14-ES1013DX Laptop With 14-Inch Display, Core Ultra 5-120U Processor/8GB RAM/512GB SSD/Integrated Graphics/Windows 11 Home English Natural Silver","34,768",N/A,laptops,noon
ASUS Vivobook S14 Laptop With 14-inch Display/ Intel Core Ultra 7- 256V \ 16GB RAM\ 1TB SSD\ Intel Arc Graphics\ Windows 11 Home\ Arabic& English Mist Blue,"57,999",N/A,laptops,noon
"ASUS TUF A14 Gaming Laptop With 14-Inch Display,FA401WU-RG037W Ryzen AI R9 HX 370Processor/16GB RAM/1TB SSD/Nvidia Geforce RTX 4050 Graphics Card/Windows 11 English/Arabic Jaeger Grey","62,999",N/A,laptops,noon
Lenovo Lenovo Laptop 16-Inch WUXGA IPS- ThinkPad E16 - Core i7-1355U - 8GB/512GB SSD - DOS English black,"41,199",N/A,laptops,noon
"Lenovo ThinkPad E14 Gen 5 14-Inch Display, Core i7-1355U Processor/8GB RAM/512GB SSD/GeForce MX550 Graphics/Free DOS English/Arabic Black","42,999",N/A,laptops,noon
"ASUS Zenbook Duo Laptop With 14-Inch Display, Core U7-155H Processor/16GB RAM/1TB SSD/Windows 11 English/Arabic Inkwell Gray","93,999",N/A,laptops,noon
"Apple 2023 Newest MacBook Pro MTL73 Laptop M3 chip with 8‑core CPU, 10‑core GPU: 14.2-inch Liquid Retina XDR Display, 8GB Unified Memory, 512GB SSD Storage And Works with iPhone/iPad(International version) English Space Grey","79,438",36%,laptops,noon
Apple MacBook Pro MPHF3 14-Inch Liquid Retina XDR Display Apple M2 Pro Chip With 12-Core CPU And 19-Core GPU/16GB RAM/1TB SSD/English Keyboard Space Grey,"109,999",32%,laptops,noon
Apple MacBook Pro MPHK3 14-Inch Liquid Retina XDR Display Apple M2 Max Chip With 12-Core CPU And 30-Core GPU/32GB RAM/1TB SSD/English Keyboard Silver,"142,222",29%,laptops,noon
"Lenovo Lenovo ThinkPad E14 I5-1335U - 8GB Ram - 512GB SSD - Nvidia MX550-2GB/14""WUXGA - Dos - Black W Bag-21JK000NGR English black English/Arabic black","35,743",N/A,laptops,noon
"DELL Latitude 3440 Laptop, Intel Core i7-1355U, 512GB SSD, 8GB RAM, 14 Inch, FHD IPS 60Hz Display, Touch Screen, Intel HD, Dos - English black","37,899",N/A,laptops,noon
"HP Envy 14-ES1013DX Laptop With 14-Inch Display, Core Ultra 5-120U Processor/8GB RAM/512GB SSD/Integrated Graphics/Windows 11 Home English Natural Silver","34,768",N/A,laptops,noon
ASUS Vivobook S14 Laptop With 14-inch Display/ Intel Core Ultra 7- 256V \ 16GB RAM\ 1TB SSD\ Intel Arc Graphics\ Windows 11 Home\ Arabic& English Mist Blue,"57,999",N/A,laptops,noon
"ASUS TUF A14 Gaming Laptop With 14-Inch Display,FA401WU-RG037W Ryzen AI R9 HX 370Processor/16GB RAM/1TB SSD/Nvidia Geforce RTX 4050 Graphics Card/Windows 11 English/Arabic Jaeger Grey","62,999",N/A,laptops,noon
Lenovo Lenovo Laptop 16-Inch WUXGA IPS- ThinkPad E16 - Core i7-1355U - 8GB/512GB SSD - DOS English black,"41,199",N/A,laptops,noon
"Lenovo ThinkPad E14 Gen 5 14-Inch Display, Core i7-1355U Processor/8GB RAM/512GB SSD/GeForce MX550 Graphics/Free DOS English/Arabic Black","42,999",N/A,laptops,noon
"ASUS Zenbook Duo Laptop With 14-Inch Display, Core U7-155H Processor/16GB RAM/1TB SSD/Windows 11 English/Arabic Inkwell Gray","93,999",N/A,laptops,noon
"Apple 2023 Newest MacBook Pro MTL73 Laptop M3 chip with 8‑core CPU, 10‑core GPU: 14.2-inch Liquid Retina XDR Display, 8GB Unified Memory, 512GB SSD Storage And Works with iPhone/iPad(International version) English Space Grey","79,438",36%,laptops,noon
Apple MacBook Pro MPHF3 14-Inch Liquid Retina XDR Display Apple M2 Pro Chip With 12-Core CPU And 19-Core GPU/16GB RAM/1TB SSD/English Keyboard Space Grey,"109,999",32%,laptops,noon
Apple MacBook Pro MPHK3 14-Inch Liquid Retina XDR Display Apple M2 Max Chip With 12-Core CPU And 30-Core GPU/32GB RAM/1TB SSD/English Keyboard Silver,"142,222",29%,laptops,noon
"Lenovo Lenovo ThinkPad E14 I5-1335U - 8GB Ram - 512GB SSD - Nvidia MX550-2GB/14""WUXGA - Dos - Black W Bag-21JK000NGR English black English/Arabic black","35,743",N/A,laptops,noon
"DELL Latitude 3440 Laptop, Intel Core i7-1355U, 512GB SSD, 8GB RAM, 14 Inch, FHD IPS 60Hz Display, Touch Screen, Intel HD, Dos - English black","37,899",N/A,laptops,noon
"HP Envy 14-ES1013DX Laptop With 14-Inch Display, Core Ultra 5-120U Processor/8GB RAM/512GB SSD/Integrated Graphics/Windows 11 Home English Natural Silver","34,768",N/A,laptops,noon
"ASUS TUF A14 Gaming Laptop With 14-Inch Display,FA401WU-RG037W Ryzen AI R9 HX 370Processor/16GB RAM/1TB SSD/Nvidia Geforce RTX 4050 Graphics Card/Windows 11 English/Arabic Jaeger Grey","62,999",N/A,laptops,noon
Lenovo Lenovo Laptop 16-Inch WUXGA IPS- ThinkPad E16 - Core i7-1355U - 8GB/512GB SSD - DOS English black,"41,199",N/A,laptops,noon
"Lenovo ThinkPad E14 Gen 5 14-Inch Display, Core i7-1355U Processor/8GB RAM/512GB SSD/GeForce MX550 Graphics/Free DOS English/Arabic Black","42,999",N/A,laptops,noon
ASUS Vivobook S14 Laptop With 14-inch Display/ Intel Core Ultra 7- 256V \ 16GB RAM\ 1TB SSD\ Intel Arc Graphics\ Windows 11 Home\ Arabic& English Mist Blue,"57,999",N/A,laptops,noon
"ASUS Zenbook Duo Laptop With 14-Inch Display, Core U7-155H Processor/16GB RAM/1TB SSD/Windows 11 English/Arabic Inkwell Gray","93,999",N/A,laptops,noon
"Apple 2023 Newest MacBook Pro MTL73 Laptop M3 chip with 8‑core CPU, 10‑core GPU: 14.2-inch Liquid Retina XDR Display, 8GB Unified Memory, 512GB SSD Storage And Works with iPhone/iPad(International version) English Space Grey","79,438",36%,laptops,noon
Apple MacBook Pro MPHF3 14-Inch Liquid Retina XDR Display Apple M2 Pro Chip With 12-Core CPU And 19-Core GPU/16GB RAM/1TB SSD/English Keyboard Space Grey,"109,999",32%,laptops,noon
Apple MacBook Pro MPHK3 14-Inch Liquid Retina XDR Display Apple M2 Max Chip With 12-Core CPU And 30-Core GPU/32GB RAM/1TB SSD/English Keyboard Silver,"142,222",29%,laptops,noon
"Lenovo Lenovo ThinkPad E14 I5-1335U - 8GB Ram - 512GB SSD - Nvidia MX550-2GB/14""WUXGA - Dos - Black W Bag-21JK000NGR English black English/Arabic black","35,743",N/A,laptops,noon
"DELL Latitude 3440 Laptop, Intel Core i7-1355U, 512GB SSD, 8GB RAM, 14 Inch, FHD IPS 60Hz Display, Touch Screen, Intel HD, Dos - English black","37,899",N/A,laptops,noon
"HP Envy 14-ES1013DX Laptop With 14-Inch Display, Core Ultra 5-120U Processor/8GB RAM/512GB SSD/Integrated Graphics/Windows 11 Home English Natural Silver","34,768",N/A,laptops,noon
ASUS Vivobook S14 Laptop With 14-inch Display/ Intel Core Ultra 7- 256V \ 16GB RAM\ 1TB SSD\ Intel Arc Graphics\ Windows 11 Home\ Arabic& English Mist Blue,"57,999",N/A,laptops,noon
"ASUS TUF A14 Gaming Laptop With 14-Inch Display,FA401WU-RG037W Ryzen AI R9 HX 370Processor/16GB RAM/1TB SSD/Nvidia Geforce RTX 4050 Graphics Card/Windows 11 English/Arabic Jaeger Grey","62,999",N/A,laptops,noon
Lenovo Lenovo Laptop 16-Inch WUXGA IPS- ThinkPad E16 - Core i7-1355U - 8GB/512GB SSD - DOS English black,"41,199",N/A,laptops,noon
"Lenovo ThinkPad E14 Gen 5 14-Inch Display, Core i7-1355U Processor/8GB RAM/512GB SSD/GeForce MX550 Graphics/Free DOS English/Arabic Black","42,999",N/A,laptops,noon
"ASUS Zenbook Duo Laptop With 14-Inch Display, Core U7-155H Processor/16GB RAM/1TB SSD/Windows 11 English/Arabic Inkwell Gray","93,999",N/A,laptops,noon
"Apple 2023 Newest MacBook Pro MTL73 Laptop M3 chip with 8‑core CPU, 10‑core GPU: 14.2-inch Liquid Retina XDR Display, 8GB Unified Memory, 512GB SSD Storage And Works with iPhone/iPad(International version) English Space Grey","79,438",36%,laptops,noon
Apple MacBook Pro MPHF3 14-Inch Liquid Retina XDR Display Apple M2 Pro Chip With 12-Core CPU And 19-Core GPU/16GB RAM/1TB SSD/English Keyboard Space Grey,"109,999",32%,laptops,noon
Apple MacBook Pro MPHK3 14-Inch Liquid Retina XDR Display Apple M2 Max Chip With 12-Core CPU And 30-Core GPU/32GB RAM/1TB SSD/English Keyboard Silver,"142,222",29%,laptops,noon
"Lenovo Lenovo ThinkPad E14 I5-1335U - 8GB Ram - 512GB SSD - Nvidia MX550-2GB/14""WUXGA - Dos - Black W Bag-21JK000NGR English black English/Arabic black","35,743",N/A,laptops,noon
"DELL Latitude 3440 Laptop, Intel Core i7-1355U, 512GB SSD, 8GB RAM, 14 Inch, FHD IPS 60Hz Display, Touch Screen, Intel HD, Dos - English black","37,899",N/A,laptops,noon
"HP Envy 14-ES1013DX Laptop With 14-Inch Display, Core Ultra 5-120U Processor/8GB RAM/512GB SSD/Integrated Graphics/Windows 11 Home English Natural Silver","34,768",N/A,laptops,noon
ASUS Vivobook S14 Laptop With 14-inch Display/ Intel Core Ultra 7- 256V \ 16GB RAM\ 1TB SSD\ Intel Arc Graphics\ Windows 11 Home\ Arabic& English Mist Blue,"57,999",N/A,laptops,noon
"ASUS TUF A14 Gaming Laptop With 14-Inch Display,FA401WU-RG037W Ryzen AI R9 HX 370Processor/16GB RAM/1TB SSD/Nvidia Geforce RTX 4050 Graphics Card/Windows 11 English/Arabic Jaeger Grey","62,999",N/A,laptops,noon
Lenovo Lenovo Laptop 16-Inch WUXGA IPS- ThinkPad E16 - Core i7-1355U - 8GB/512GB SSD - DOS English black,"41,199",N/A,laptops,noon
"Lenovo ThinkPad E14 Gen 5 14-Inch Display, Core i7-1355U Processor/8GB RAM/512GB SSD/GeForce MX550 Graphics/Free DOS English/Arabic Black","42,999",N/A,laptops,noon
"ASUS Zenbook Duo Laptop With 14-Inch Display, Core U7-155H Processor/16GB RAM/1TB SSD/Windows 11 English/Arabic Inkwell Gray","93,999",N/A,laptops,noon
"Apple 2023 Newest MacBook Pro MTL73 Laptop M3 chip with 8‑core CPU, 10‑core GPU: 14.2-inch Liquid Retina XDR Display, 8GB Unified Memory, 512GB SSD Storage And Works with iPhone/iPad(International version) English Space Grey","79,438",36%,laptops,noon
Apple MacBook Pro MPHF3 14-Inch Liquid Retina XDR Display Apple M2 Pro Chip With 12-Core CPU And 19-Core GPU/16GB RAM/1TB SSD/English Keyboard Space Grey,"109,999",32%,laptops,noon
Apple MacBook Pro MPHK3 14-Inch Liquid Retina XDR Display Apple M2 Max Chip With 12-Core CPU And 30-Core GPU/32GB RAM/1TB SSD/English Keyboard Silver,"142,222",29%,laptops,noon
"Lenovo Lenovo ThinkPad E14 I5-1335U - 8GB Ram - 512GB SSD - Nvidia MX550-2GB/14""WUXGA - Dos - Black W Bag-21JK000NGR English black English/Arabic black","35,743",N/A,laptops,noon
"DELL Latitude 3440 Laptop, Intel Core i7-1355U, 512GB SSD, 8GB RAM, 14 Inch, FHD IPS 60Hz Display, Touch Screen, Intel HD, Dos - English black","37,899",N/A,laptops,noon
"HP Envy 14-ES1013DX Laptop With 14-Inch Display, Core Ultra 5-120U Processor/8GB RAM/512GB SSD/Integrated Graphics/Windows 11 Home English Natural Silver","34,768",N/A,laptops,noon
